time_str,range_meas_m,azimuth_meas_deg,radial_vel_meas_ms,range_true_m,azimuth_true_deg,radial_vel_true_ms,lat_deg,lon_deg
2001-09-11 08:00:00,2450009.536,53.777891,-382.7184,2428326.302,57.431815,-382.4732,38.06812715,121.89002116
2001-09-11 08:00:30,2442532.295,54.798804,-382.0153,2417592.230,57.610345,-382.0869,37.90629244,121.94632211
2001-09-11 08:01:00,2432029.103,54.605214,-381.5921,2406870.083,57.790653,-381.6935,37.91014593,121.87685466
2001-09-11 08:01:30,2390839.257,56.174353,-381.7991,2396160.081,57.972767,-381.2928,37.59922321,121.80758728
2001-09-11 08:02:00,2402018.197,53.976105,-380.2592,2385462.450,58.156717,-380.8847,37.92974197,121.67197105
nan,,,,,,,,
nan,,,,,,,,
2001-09-11 08:03:30,2388340.631,55.566428,-379.4681,2353446.090,58.719874,-379.6147,37.67846589,121.74387763
2001-09-11 08:04:00,2370703.781,55.040528,-379.4734,2342800.272,58.911463,-379.1757,37.71203324,121.61126115
2001-09-11 08:04:30,2353413.282,55.995941,-378.6031,2332168.012,59.105041,-378.7284,37.54311843,121.60578301
nan,,,,,,,,
nan,,,,,,,,
nan,,,,,,,,
2001-09-11 08:06:30,2303330.646,55.155961,-376.4470,2289779.646,59.899881,-376.8551,37.54579112,121.28768004
2001-09-11 08:07:00,2311861.715,57.491505,-376.0257,2279219.038,60.103893,-376.3649,37.25186990,121.51654603
2001-09-11 08:07:30,2295451.511,56.039941,-376.1130,2268673.567,60.310095,-375.8654,37.41124429,121.32066875
nan,,,,,,,,
nan,,,,,,,,
2001-09-11 08:09:00,2259670.635,57.707810,-373.9355,2237130.814,60.942208,-374.3106,37.11521793,121.27032536
2001-09-11 08:09:30,2251507.517,59.014634,-373.7493,2226648.756,61.157539,-373.7728,36.92685661,121.32346621
2001-09-11 08:10:00,2221179.979,59.303507,-373.6748,2216183.296,61.375248,-373.2250,36.82956819,121.18967611
nan,,,,,,,,
2001-09-11 08:11:00,2201714.205,58.702494,-372.6474,2195303.411,61.817958,-372.0983,36.86841998,121.04973011
2001-09-11 08:11:30,2207393.795,57.181932,-371.1025,2184889.624,62.043041,-371.5190,37.07397693,120.96954652
nan,,,,,,,,
nan,,,,,,,,
2001-09-11 08:13:00,2191897.800,59.751958,-369.3733,2153756.836,62.733705,-369.7147,36.71494523,121.07122282
2001-09-11 08:13:30,2165556.615,61.279594,-368.3043,2143416.568,62.969210,-369.0904,36.47095235,121.03446628
